Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage,min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime,total_chunk_time,distance_wer,distance_wil,distance_combined,should_plot
2024-12-12 01:25:42.147,8-0.6.pkl,distil-small.en,3,False,False,1,,0.2455827666666666,0.1970620333333333,0.2188258333333333,34.7,46.2,7.877729972203572,123084.0,40625.0,3419.0,1200.0,3419.0,1128.4722222222222,103.23697662353516,2.9971160888671875,2.8676937950981984,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.2331404052141477,34.736301404423756,46.22727155326141,57.78866670896639,false
2024-12-12 01:20:41.225,8-0.6.pkl,distil-small.en,3,True,False,1,,0.2549128666666667,0.1926533333333333,0.2191479333333333,33.7,44.8,7.889326175053914,123084.0,41675.0,3419.0,1230.0,3419.0,1157.638888888889,100.65786361694336,2.888412475585937,2.796051767137316,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.2334625052141477,33.73738919584278,44.82813212427849,56.06897537854602,false
2024-12-12 01:22:33.855,8-0.6.pkl,distil-small.en,3,False,True,1,0.6,0.2471144333333333,0.1864088333333333,0.2219844,26.5,36.3,7.991439660390218,123084.0,43285.0,3419.0,1280.0,3419.0,1202.361111111111,101.3705202738444,2.936065673828125,2.8158477853845665,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.2362989718808144,26.547663459292863,36.33481023960182,44.95486625494508,false
2024-12-11 11:26:08.498,8-0.7.pkl,distil-small.en,3,False,True,1,0.6,0.2602408666666667,0.1861669333333333,0.2206555333333333,23.5,35.6,7.502287705739339,116246.0,39600.0,3419.0,1235.0,3419.0,1164.7058823529412,91.114439646403,2.797789255777994,2.6798364601883238,8,0.7,97.75,918.554354354784,21.282798833819243,20.5256183946793,0.7571804391399417,1.2582426865219365,23.554897041978045,35.636262074720825,42.66860672672592,false
2024-12-12 01:52:47.357,8-0.6.pkl,distil-small.en,7,False,True,1,0.6,0.3223678333333333,0.2302613999999999,0.2792608666666666,24.5,34.0,10.053391774495443,123084.0,53885.0,3419.0,1590.0,3419.0,1496.8055555555554,100.39782842000324,2.8948796590169272,2.7888285672223128,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.2935754385474811,24.554497295102852,34.03929108273575,41.91956583744636,false
2024-12-12 02:07:45.762,8-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3837903333333333,0.2692636,0.3130543333333333,21.4,30.0,11.26995611190796,131148.0,56470.0,3643.0,1575.0,3643.0,1568.611111111111,115.8623326619466,3.365428924560547,3.2183981294985173,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.3273689052141477,21.46443356370089,30.045996542144003,36.864074652702186,false
2024-12-12 02:52:07.567,8-0.6.pkl,distil-large-v3,3,True,True,4,0.6,0.5368202000000001,0.3825485666666666,0.4383259333333333,18.4,25.5,15.779733896255491,144676.0,56620.0,4019.0,1575.0,4018.777777777778,1572.777777777778,136.12530008951822,3.92315928141276,3.781258335819951,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.4526405052141478,18.484322125449683,25.560910868695363,31.461246002026048,true
2024-12-11 13:54:53.373,16-0.6.pkl,distil-small.en,3,False,True,1,0.8,0.2522158,0.1686650333333333,0.2122667,15.3,21.4,3.82080070177714,61542.0,23165.0,3419.0,1375.0,3419.0,1286.9444444444443,51.20246760050456,2.902960459391276,2.844581533361364,16,0.6,98.09000000059604,1783.06785714307,37.646067415730336,36.74943628204003,0.896631133690309,2.1310706245593964,15.480034302509152,21.52908409586576,26.325842816517763,false
2024-12-11 13:53:28.637,16-0.6.pkl,distil-small.en,3,True,False,1,,0.2697587,0.1953007999999999,0.2248549,13.3,18.7,4.047388474146525,61542.0,21695.0,3419.0,1305.0,3419.0,1205.2777777777778,53.340813954671226,3.0174331665039062,2.96337855303729,16,0.6,98.09000000059604,1783.06785714307,37.646067415730336,36.74943628204003,0.896631133690309,2.1436588245593966,13.508711010163456,18.849012524695063,22.969109691061167,false
2024-12-11 09:53:00.257,16-0.7.pkl,distil-small.en,3,False,False,1,,0.2754857333333333,0.2025252333333333,0.2258552333333333,12.2,17.0,3.839538812637329,58123.0,19960.0,3419.0,1270.0,3419.0,1174.1176470588234,48.01765823364258,2.8746045430501304,2.82456813139074,16,0.7,97.7800000011921,1849.4324999999253,39.38235294117647,38.471039177389706,0.9113137637867648,2.212450086275627,12.439249791858872,17.172505215729622,20.948508300115307,false
2024-12-11 14:22:05.268,16-0.6.pkl,distil-medium.en,3,True,False,1,,0.3647888666666667,0.2559118333333333,0.3119104,12.2,16.7,5.614387035369873,65574.0,28110.0,3643.0,1575.0,3643.0,1561.6666666666667,59.31526056925456,3.3701400756835938,3.295292253847476,16,0.6,98.09000000059604,1783.06785714307,37.646067415730336,36.74943628204003,0.896631133690309,2.2307143245593966,12.442511257692093,16.877976371526135,20.70579628992809,false
2024-12-11 10:16:39.656,16-0.7.pkl,distil-medium.en,3,False,True,1,0.6,0.3799758,0.2658,0.3156448,11.2,15.1,5.36596155166626,61931.0,26600.0,3643.0,1575.0,3643.0,1564.7058823529412,54.496612548828125,3.2661348978678384,3.2056830911075367,16,0.7,97.7800000011921,1849.4324999999253,39.38235294117647,38.471039177389706,0.9113137637867648,2.3022396529422937,11.477818060048689,15.307197895747603,18.82684253931073,true
2024-12-11 20:30:57.327,24-0.6.pkl,distil-small.en,3,True,False,1,,0.2938468,0.2023755,0.2288799,9.2,11.1,2.746558666229248,41028.0,15240.0,3419.0,1370.0,3419.0,1270.0,34.90571594238281,2.9533259073893228,2.9088096618652344,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.0197266018702353,9.734410549696511,11.546806863806234,14.45164350515193,false
2024-12-11 20:32:03.102,24-0.6.pkl,distil-small.en,3,False,True,1,0.8,0.2815438333333333,0.2138192666666666,0.2345929,8.2,10.1,2.815114974975586,41028.0,15000.0,3419.0,1405.0,3419.0,1250.0,36.09060287475586,3.052326202392578,3.0075502395629883,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.0254396018702354,8.797345325981283,10.590716915514488,13.047988350699889,false
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,true
