min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime
8,0.6,102.28999999910593,860.1868945866016,21.997229916897506,20.96619430077043,1.0310356161270775
8,0.7,99.57999999821186,859.8439999999318,17.184722222222224,16.55300089518229,0.6317213270399306
8,0.8,103.16999999582768,858.6024355298084,30.0974930362117,28.808845711285688,1.2886473249260098
16,0.6,99.05999999940396,1701.4008720926506,41.52472527472528,40.43963421832074,1.085091056404533
16,0.7,98.34000000059605,1706.1752941176733,33.71111111111111,32.83363647460938,0.8774746365017361
16,0.8,96.67000000178814,1725.3211764708162,34.43611111111111,33.62413533528646,0.8119757758246527
24,0.6,100.32000000029802,2601.9292792789975,86.69166666666666,85.20478108723958,1.4868855794270834
24,0.7,100.19999999850988,2638.891363636404,87.5375,86.08507893880208,1.4524210611979167
24,0.8,99.92000000327826,2689.253917051488,68.42194092827005,67.25502394020306,1.1669169880669832
32,0.6,99.05999999940396,3429.244444443948,86.02197802197803,84.6586672604739,1.363310761504121
32,0.7,100.05,3451.2187499996276,93.26666666666667,90.76866997612848,2.4979966905381943
32,0.8,103.11000000089408,3489.070624999981,109.80662983425414,107.74467611576313,2.061953718491022
